0,Throwing Kunai,A standard throwing kunai.Flies straight and true.Allows for precise aiming.
1,<COLOR FF0000>#Rejected#</COLOR> I_0001_Name,<COLOR FF0000>#Rejected#</COLOR> I_0001_Explain
2,Barrel Bomb,A small time bomb.
3,Large Barrel Bomb,A powerful bomb triggeredby external physical impact.
4,Shock Trap,A trap that immobilizesa target. Use it to capturemonsters.
5,Max Potion,Fully restores health.
6,Potion,Restores a smallamount of health.
7,Mega Potion,Restores a moderateamount of health.
8,Well-done Steak,Food that fully restoresstamina.
9,Lifepowder,Produces a cloud that healsyou and anyone nearby.
10,Whetstone,A standard-sized whetstone.Use it to restore a weapon'ssharpness.
11,<COLOR FF0000>#Rejected#</COLOR> I_0011_Name,<COLOR FF0000>#Rejected#</COLOR> I_0011_Explain
12,<COLOR FF0000>#Rejected#</COLOR> I_0012_Name,<COLOR FF0000>#Rejected#</COLOR> I_0012_Explain
13,Antidote,A cure for poison/venom.
14,Cleanser,Immediately removes any foamor webbing on your body.
15,Deodorant,"An item that cures Stench,hellfireblight, and blast-blight when thrown down."
16,<COLOR FF0000>#Rejected#</COLOR> I_0016_Name,<COLOR FF0000>#Rejected#</COLOR> I_0016_Explain
17,<COLOR FF0000>#Rejected#</COLOR> I_0017_Name,<COLOR FF0000>#Rejected#</COLOR> I_0017_Explain
18,BBQ Spit,Just what you need to cookmeat. A must-have item forany hungry hunter.
19,<COLOR FF0000>#Rejected#</COLOR> I_0019_Name,<COLOR FF0000>#Rejected#</COLOR> I_0019_Explain
20,<COLOR FF0000>#Rejected#</COLOR> I_0020_Name,<COLOR FF0000>#Rejected#</COLOR> I_0020_Explain
21,<COLOR FF0000>#Rejected#</COLOR> I_0021_Name,<COLOR FF0000>#Rejected#</COLOR> I_0021_Explain
22,<COLOR FF0000>#Rejected#</COLOR> I_0022_Name,<COLOR FF0000>#Rejected#</COLOR> I_0022_Explain
23,Empty Phial,"A regular old empty phial.Nothing more, nothing less."
24,Small Barrel,"A small, empty barrel."
25,Large Barrel,"A large, empty barrel.Combine with gunpowderto make it into a bomb."
26,Trap Tool,A must-have item for puttingtogether pitfall traps andother kinds of traps.
27,Powercharm,An amulet that strengthensattacks. Just carrying thisgives you demonic strength.
28,Armorcharm,An amulet that increasesdefense. Just carrying thismakes your skin stone hard.
29,Normal Ammo 1,Ammo for novices.Doesn't pack much oomph.Unlimited shots.
30,Normal Ammo 2,Non-specialized ammo.More powerful thanNormal Ammo 1.
31,Normal Ammo 3,"High-quality gunpowderammo. Single-shot, butfast and impactful."
32,Pierce Ammo 1,Armor-piercing ammothat deals multiple hitsto some monsters.
33,Pierce Ammo 2,High-grade armor-piercingammo. Deals more hitsthan Pierce Ammo 1.
34,Pierce Ammo 3,Max-gradearmor-piercing ammo.Deals numerous hits.
35,Spread Ammo 1,"Ammo made for close combat.What it lacks in range, itmakes up for in damage."
36,Spread Ammo 2,Ammo made for closecombat. Deals more hitsthan Spread Ammo 1.
37,Spread Ammo 3,Max-grade ammo madefor close combat. Dealsnumerous hits.
38,Sticky Ammo 1,Powerful pierce and burstammo. Headshots may stun.
39,Sticky Ammo 2,Very powerful pierce andburst ammo. Headshotsmay stun.
40,Cluster Bomb 1,Ammo that fragments intothree shells upon impact.Beware of friendly fire!
41,Cluster Bomb 2,Ammo that fragments intofour shells upon impact.Beware of friendly fire!
42,Poison Ammo 1,"Poisons target, but mayrequire several shots."
43,Poison Ammo 2,Enhanced ammo that inflictspoison. Some targetsrequire multiple shots.
44,Paralysis Ammo 1,"Paralyzes target, but mayrequire several shots."
45,Paralysis Ammo 2,Enhanced ammo that inflictsparalysis. Some targetsrequire multiple shots.
46,Sleep Ammo 1,"Induces sleep, but mayrequire several shots."
47,Sleep Ammo 2,Enhanced ammo thatinflicts sleep. Some targetsrequire multiple shots.
48,Exhaust Ammo 1,Ammo that drainsa monster's stamina.
49,Exhaust Ammo 2,Enhanced special ammothat drains a monster'sstamina.
50,Recover Ammo 1,Ammo that restores asmall amount of healthto an ally upon impact.
51,Flaming Ammo,Ammo that packs apunch against monstersweak to fire element.
52,Water Ammo,Ammo that packs apunch against monstersweak to water element.
53,Thunder Ammo,Ammo that packs apunch against monstersweak to thunder element.
54,Freeze Ammo,Ammo that packs apunch against monstersweak to ice element.
55,Slicing Ammo,"Ammo that ejects sharpblades on impact, whichcan sever tails."
56,Wyvern Ammo,Ammo created throughyears of research intoWyvern's Fire.
57,Tranq Ammo,Bowgun ammo usedto capture monstersensnared in traps.
58,Power Coating,An arrow coating thatincreases the attackpower of arrows.
59,<COLOR FF0000>#Rejected#</COLOR> I_0059_Name,<COLOR FF0000>#Rejected#</COLOR> I_0059_Explain
60,Poison Coating,An arrow coating thatapplies poison effectsto arrows.
61,Para Coating,An arrow coating thatapplies paralysis effectsto arrows.
62,Sleep Coating,An arrow coating thatapplies sleep effectsto arrows.
63,Blast Coating,An arrow coating thatapplies explosive powderto arrows.
64,Close-range Coating,"Arrows that deal more damageto close targets, butreduces maximum range."
65,Exhaust Coating,An arrow coating thatapplies a fatigue-inducingfluid to arrows.
66,<COLOR FF0000>#Rejected#</COLOR> I_0066_Name,<COLOR FF0000>#Rejected#</COLOR> I_0066_Explain
67,<COLOR FF0000>#Rejected#</COLOR> I_0067_Name,<COLOR FF0000>#Rejected#</COLOR> I_0067_Explain
68,<COLOR FF0000>#Rejected#</COLOR> I_0068_Name,<COLOR FF0000>#Rejected#</COLOR> I_0068_Explain
69,<COLOR FF0000>#Rejected#</COLOR> I_0069_Name,<COLOR FF0000>#Rejected#</COLOR> I_0069_Explain
70,<COLOR FF0000>#Rejected#</COLOR> I_0070_Name,<COLOR FF0000>#Rejected#</COLOR> I_0070_Explain
71,<COLOR FF0000>#Rejected#</COLOR> I_0071_Name,<COLOR FF0000>#Rejected#</COLOR> I_0071_Explain
72,<COLOR FF0000>#Rejected#</COLOR> I_0072_Name,<COLOR FF0000>#Rejected#</COLOR> I_0072_Explain
73,<COLOR FF0000>#Rejected#</COLOR> I_0073_Name,<COLOR FF0000>#Rejected#</COLOR> I_0073_Explain
